实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
非洲,阿非利加洲(全称),,Africa,,,Affrike,,,,,,,,,,,,,,,,,,,洲,东半球,"东濒印度洋,西临大西洋,北至地中海,南至好望角",北非、东非、西非、中非、南非,,东非大裂谷、帝王谷、金字塔、撒哈拉沙漠等,,,,,,,,,,
尼日尔,,尼日尔共和国[1] ,,The Republic of Niger[1] ,尼日尔,,NER,总统制共和制,总统:马哈马杜·伊素福、总理:布里吉·拉菲尼,尼亚美[1] ,1267000平方公里[1] ,非洲,UTC+1,非洲金融共同体法郎,豪萨族、图阿雷格族、颇尔族,伊斯兰教、拜物教,,法语[1] ,《尼日尔之歌》,1958年12月18日,,,,,,,,,,,,,,,,,,,,
纽约,纽约,,New York City,,,大苹果、不夜城、哥谭市、NYC等,,,,,,,,,,,,,,,,,,,市,美利坚合众国(USA),美国纽约州东南部大西洋沿岸,"曼哈顿区、皇后区、布鲁克林区,布朗克斯区、斯塔滕岛",百老汇大街260号,自由女神像、大都会博物馆、时代广场等,,,,,,,,,,
德黑兰,德黑兰,,波斯语:تهران‎、Tehrān 英文:Teheran,,,,,,,,,,,,,,,,,,,,,,首都,伊朗,,,,"古利斯坦宫,霍梅尼陵墓,自由纪念塔",,,,,,穆罕默德·巴吉尔·卡利巴夫,,,,
法国,法兰西共和国[1] ,,French Republic[1] ,,法国、法兰西,,FRA,半总统共和制,总统:埃马纽埃尔·马克龙、总理:让·卡斯泰[3] ,巴黎[1] ,672834平方公里(本土面积543965平方公里)[5] ,欧洲,UTC+1,欧元[1] ,法兰西人、布列塔尼人、科西嘉人、阿尔萨斯人[1] ,天主教[1] ,马赛、里昂、图卢兹、尼斯、南特、斯特拉斯堡、蒙彼利埃、里尔等[1] ,法语[1] ,《马赛曲》[1] ,1789年7月14日[1] ,,,,,,,,,,巴黎圣母院、埃菲尔铁塔、凡尔赛宫、卢浮宫,,,,,,,,,,
俄罗斯,俄罗斯联邦、俄罗斯,,英语:Russian Federation、Russia;俄语:Российская Федерация、Россия,,俄联邦、俄国,,RUS,半总统共和制,总统:弗拉基米尔·普京;总理:米哈伊尔·米舒斯京[3] ,莫斯科,17098200 km2,欧洲,UTC+2至UTC+12,俄罗斯卢布,俄罗斯人等194个民族,东正教,"圣彼得堡,新西伯利亚,叶卡捷琳堡,下诺夫哥罗德,加里宁格勒等",俄语,"《俄罗斯,我们神圣的祖国》",1990年6月12日,,,欧陆法系,,,,,,,,,,,,,,,,,
德国,德意志联邦共和国,,Federal Republic of Germany,,德国,,DEU,议会制共和制,总统:弗兰克-瓦尔特·施泰因迈尔;总理:安格拉·默克尔,柏林,357376 km2,欧洲,UTC+1,欧元,德意志人、丹麦人、索布人[2] ,基督新教、天主教[2] ,"汉堡,慕尼黑,科隆,法兰克福,斯图加特,不来梅,德累斯顿等",德语,《德意志之歌》,1990年10月3日,柏林,勃兰登堡门、莱茵河、新天鹅堡,,,,,,,,,,,,,,,,,,
维也纳,维也纳,,德语Wien、英语Vienna,,,世界音乐之都,,,,,,,,,,,,,,,,,,,首都,奥地利,奥地利东北部,上维也纳、下维也纳,维也纳,"美泉宫,金色大厅,圣斯特凡大教堂",维也纳大学、维也纳音乐学院,,,,,,,,,
欧洲,欧洲,,Europe,,,欧罗巴洲,,,,,,,,,,,,,,,,,,,洲,,,西欧、北欧、中欧、东欧、南欧,,,,,,,,,,,,
荷兰,荷兰王国,,The Kingdom of the Netherlands[2] ,,荷兰,,NLD,议会制君主立宪制,"国王:威廉·亚历山大,首相:马克·吕特",阿姆斯特丹[2] ,41528 km2[2] ,欧洲,UTC+1,欧元,荷兰人、弗里斯兰人[2] ,天主教、基督新教[2] ,"鹿特丹,海牙,乌得勒支,埃因霍温,蒂尔堡等[2] ",荷兰语[2] ,《威廉颂》,4月27日[2] ,阿姆斯特丹,,,,,,,,,,,,,,,,,,,
罗马,,罗马,,,,七丘之城,,,,,,,,,,,,,,,,,,,首都,意大利拉齐奥,意大利半岛中西部,,,"罗马斗兽场,万神庙,罗马国立博物馆,君士坦丁凯旋门",,,,,,弗吉妮亚.拉吉,,,,
旧金山,,旧金山,,,,三藩市、圣弗朗西斯科,,,,,,,GMT-7/-8,,,,,,,,,,,,市,美国加利福尼亚州,"37°N,122°W",,旧金山,"金门大桥,金门公园,九曲花街,旧金山唐人街,渔人码头",,,,,,MARK E. FARRELL[20] ,,,,
加利福尼亚州,,加利福尼亚州,,,,加州、黄金之州、金州,,,,,,,Pacific: UTC-8/-7,,,,,英语,,,,,,,州,美国西南部,美国西南部、太平洋东岸,洛杉矶、旧金山、伯克利、奥克兰、萨克拉门托、圣迭戈等,萨克拉门托,旧金山金门大桥、好莱坞,,,,加文·纽瑟姆[3] ,,,,,,
西雅图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波特兰,波特兰,,Portland,,,玫瑰之城,,,,,,,太平洋时区,,,,,,,,,,,,市,姆尔特诺默县,西北部,比弗顿、奥斯威戈湖、希尔斯波柔,塞勒姆,Mt.Tabor公园、中国花园,,,,,,Sam Adams,,,,
纽约州,纽约州,,State of New York,,,帝国州(Empire State),,,,,,,,,,,,,,,纽约市(New York City),,,,联邦州,美国,美国东北部,,奥尔巴尼(Albany),自由女神、布鲁克林桥、中央公园、帝国大厦、尼亚加拉瀑布等,,,,,,,,,,
纽约市,纽约,,New York City,,,大苹果、不夜城、哥谭市、NYC等,,,,,,,,,,,,,,,,,,,市,美利坚合众国(USA),美国纽约州东南部大西洋沿岸,"曼哈顿区、皇后区、布鲁克林区,布朗克斯区、斯塔滕岛",百老汇大街260号,自由女神像、大都会博物馆、时代广场等,,,,,,,,,,
巴黎,巴黎,,Ville de Paris(法语)Paris(英语),,,艺术之都、时尚之都、文化之都、浪漫之都、花都,,,,,,,,,,,,,,,,,,,首都,法国,法国北部,第1区、第2区、第3区等,巴黎市中心圣母院北部塞纳河畔,巴黎圣母院、埃菲尔铁塔、凯旋门、卢浮宫、塞纳河畔、凡尔赛宫等,巴黎大学、巴黎高等师范学院等,,,,,贝特朗·德拉诺埃,,,,
北卡罗来纳州,,北卡罗来纳州,,,,“焦油脚跟之州” 或“老北州”,,,,,,,,,,,,,,,,,,,州,美国,美国东海岸中部,,罗利,大烟山国家公园,,,,,,,,,,
南卡罗来纳州,,南卡罗来纳州,,,,南卡罗、矮棕榈,,,,,,,,,,,,,,,,,,,一级州,美国东南,,查尔斯顿、格林维尔等,哥伦比亚城,萨瓦纳河等,,,,,,,,,,
哥伦比亚,哥伦比亚共和国,,The Republic of Colombia,,哥伦比亚,,COL,总统制共和制,"总统:伊万·杜克·马尔克斯,副总统:马尔塔·露西娅·拉米雷斯",波哥大,1141748 km2,南美洲,UTC-5,哥伦比亚比索,印欧混血种人、白人、黑白混血种人,天主教,"麦德林,卡利,巴兰基亚,布卡拉曼加,卡塔赫纳等",西班牙语,《不褪色的光荣》,7月20日(独立日),,,,,,,,,,,,,,,,,,,,
索马里,,索马里联邦共和国[1] ,,The Federal Republic of Somalia[1] ,索马里,,SOM,总统制共和制,总统:穆罕默德·阿卜杜拉希·穆罕默德[1] ,摩加迪沙[1] ,637660平方公里[1] ,非洲,UTC+3,索马里先令[1] ,索马里人、阿拉伯人,伊斯兰教,哈尔格萨、基斯马尤、马尔卡等,索马里语和阿拉伯语[1] ,"《索马里,起来》",1960年7月1日[1] ,,,,,,,,,,,,,,,,,,,,
塞尔维亚,塞尔维亚共和国[2] ,,The Republic of Serbia[2] ,,塞尔维亚,巴尔干之虎,SRB,议会制共和制,"总统:亚历山大·武契奇,总理:安娜·布尔纳比奇[4] ",贝尔格莱德[2] ,88361平方公里(包括科索沃),欧洲,UTC+1[2] ,塞尔维亚第纳尔[2] ,塞尔维亚人[2] ,东正教[2] ,"诺维萨德,尼什,克拉古耶瓦茨等[2] ",塞尔维亚语[2] ,"《上帝,给我公正吧!》[2] ",2月15日,,,,,,,,,,,,,,,,,,,,
科索沃,科索沃自治省,,英语:Kosovo,,,,,,,,,,,,,,,,,,,,,,自治省,塞尔维亚共和国,塞尔维亚南部,,普里什蒂纳,格拉查尼察修道院,,,,,,,,,,
巴尔干,巴尔干半岛,,Balkan Peninsula,,,,,,,,,,,,,,,,,,,,,,,欧洲南部,亚得里亚海和黑海之间,,,,,,,,,,,,,
贝尔格莱德,贝尔格莱德,,Београд,,,贝尔格勒,,,,,,,,,,,,,,,,,,,"首都,直辖市",塞尔维亚北部,地处巴尔干半岛核心位置,"萨拉热窝,格罗茨卡,姆拉代诺瓦茨等",,"塞尔维亚国家博物馆,贝尔格莱德国家大剧院,尼古拉·帕希奇广场",,,,,,,,,,
布鲁塞尔,布鲁塞尔,,"Brussels(英语), Bruxelles(法语)",,,,,,,,,,,,,,,,,,,,,,首都,比利时,比利时中部,,,滑铁卢古战场、布鲁塞尔广场、第一公民小于廉、原子塔,,,,,,夏尔·皮凯,,,,
西好莱坞,西好莱坞,,West Hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好莱坞,,好莱坞,,,,"荷里活(香港),花花世界(Tinseltown)",,,,,,,,,,,,,,,,,,,,美国加利福尼亚州洛杉矶市郊外,地处太平洋东侧的圣佩德罗湾和圣莫尼卡湾沿岸,,,日落大道、好莱坞中国剧院、环球影城、星光大道,,,,,,,,,,
墨西哥城,墨西哥城,,"Ciudad de México,Mexico City",,,壁画之都,,,,,,,,,,,,,,,,,,,首都,墨西哥,墨西哥中南部高原的山谷中[2] ,,,国家宫、主教座堂、阿兹特克大神庙遗址,,,,,,,,,,
拉美,,拉丁亚美利加洲,,,,拉丁美洲、拉美,,,,,,,,,印欧混血种人、黑白混血种人,天主教,,,,,,,,,,美洲,北纬32°42′至南纬56°54′[1] ,南美洲、北美洲部分地区[1] ,,,,,,,,,,,,
委内瑞拉,委内瑞拉玻利瓦尔共和国[3] ,,Bolivarian Republic of Venezuela[3] ,,委内瑞拉,,VEN,总统制共和制,总统:尼古拉斯·马杜罗·莫罗斯,加拉加斯[3] ,916400 km2,南美洲,UTC-4[5] ,主权玻利瓦尔[4] ,印欧混血种人、白人、黑人、印第安人[3] ,天主教[3] ,"马拉开波,巴伦西亚,拉瓜伊拉等[3] ",西班牙语[3] ,《英勇人民的光荣》,7月5日,,,,,,,,,,,,,,,,,,,,
西班牙,西班牙王国[1] ,,Reino de España[1] ,,西班牙,,ESP,议会制君主立宪制,"国王:费利佩六世,首相:佩德罗·桑切斯",马德里[1] ,506000 km2[4] ,欧洲,UTC+1,欧元[1] ,卡斯蒂利亚人、加泰罗尼亚人、加利西亚人、巴斯克人[1] ,天主教[1] ,"巴塞罗那,巴伦西亚,塞维利亚,马拉加,毕尔巴鄂,萨拉戈萨等[1] ",西班牙语(卡斯蒂利亚语)[1] ,《皇家进行曲》(Marcha Real)[1] ,10月12日[1] ,马德里,,,,,,,,,,,,,,,,,,,
奥克兰,奥克兰,,Auckland,,,风帆之都,,,,,,,,,,,,,,,,,,,市,"新西兰北岛,奥克兰都会区",新西兰北岛,奥克兰市玛努考市怀希基岛,,"奥克兰中央公园,山羊岛海洋保护区,天空塔等",,,,,,,,,,
得克萨斯州,,得克萨斯州,,,,孤星之州,,,,,,,,,,,,,,,,,,,州,美利坚合众国,美国南部,"休斯敦,阿灵顿",奥斯汀,"河滨步道,达拉斯剧场中心",,,,格雷格·雅培,约翰·科宁、特德·克鲁兹,,,,,
路易斯安那州,,路易斯安那州,,,,鹈鹕之州,,,,,,,,,,,,,,,新奥尔良,,,,联邦州,美国南部,位于墨西哥沿岸,64个县,巴吞鲁日,,,,,鲍比·金达尔,,,,,,
墨西哥湾,墨西哥湾,,Gulf of Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿瑟港,,阿瑟港,,,,,,,,,,,,,,,,,,,,,,,,,澳大利亚塔斯曼尼亚州 ,,,阿瑟港监狱,,,,,,,,,,
波士顿,波士顿,,Boston,,,智慧之城、美国雅典、科学技术的方向盘、美国精神发源地、豆豆城,,,,,,,,,,,,,,,,,,,首府,美国马萨诸塞州,美国东北部的新英格兰地区,萨福克县,,"自由之路,昆西市场,新英格兰水族馆,法尼尔厅,科普利广场[1] ",,,,,,Martin J. Walsh,,,,
印本,印本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马萨诸塞州,,马萨诸塞州,,,,马萨诸塞联邦、麻省、麻州,,,,,,,美国东部时间,,,,,,,,波士顿,,,,一级行政区,美国东北的新英格兰地区,美国东部,,波士顿,北安普顿,,,,查理·贝克[2] ,,,,,,
特拉华州,,特拉华州[3] ,,,,德拉维尔州、德拉瓦州、钻石之州(Diamond State)[2] ,,,,,,,,,,,,,,,威尔明顿(Wilmington)[4] ,,,,联邦州,美国,美国大西洋沿岸之中间位置,威明顿,多佛(Dover),"美国艺术博物馆,特拉华州历史博物馆,特拉华峡谷国家娱乐区[1] ",,,,,,,,,,
明尼阿波利斯,,,Minneapolis,,,双子城、湖城,,,,,,,,,,,,,,,,,,,市,明尼苏达州,明尼苏达州东南跨密西西比河两岸,亨内平县下辖明尼阿波利斯市,美国,美国购物中心、日蚀剧院、圣安东尼瀑布,,,,,,Betsy Hodges,,,,
伊利诺伊州,,伊利诺伊州,,,,“林肯之地”、草原之州,,,,,,,,,,,,,,,,,,,联邦州,美国,36°58'N  42°30'N 87°30'W,,斯普林菲尔德,,,,,普利兹克(J.B. Pritzker)[1] ,,,,,,
巴西,巴西联邦共和国[1] ,,The Federative Republic of Brazil[1] ,,巴西,,BRA,总统制共和制,总统:雅伊尔·梅西亚斯·博索纳罗[7] ,巴西利亚(Brasília)[1] ,8514900 km2[1] ,南美洲,UTC-3,雷亚尔[6] ,白人、穆拉托人、黑人、印第安人[1] ,天主教[1] ,"圣保罗,里约热内卢,萨尔瓦多,累西腓,贝洛奥里藏特等[1] ",葡萄牙语[1] ,"《听,伊匹兰加的呼声》",1822年9月7日,圣保罗,,,,,,,,,,,,,,,,,,,
墨西哥,墨西哥合众国[2] ,,the United Mexican States,,墨西哥,,MEX,总统制共和制,总统:安德烈斯·曼努埃尔·洛佩斯·奥夫拉多尔[2] ,墨西哥城[2] ,1964375 km2,北美洲,UTC-6至UTC-8,墨西哥比索,印欧混血种人、印第安人[2] ,天主教[2] ,"瓜达拉哈拉,蒙特雷,韦拉克鲁斯,普埃布拉,莱昂等[2] ",西班牙语[2] ,《墨西哥人响应战争号召》,9月16日[2] ,墨西哥城,,,,,,,,,,,,,,,,,,,
智利,智利共和国[2] ,,Republic of Chile[2] ,,智利,,CHL,总统制共和制,总统:塞瓦斯蒂安·皮涅拉·埃切尼克[3] ,圣地亚哥[2] ,756715 km2[2] ,南美洲,UTC-4,智利比索,白人、印欧混血种人、印第安人[2] ,天主教、基督新教,"瓦尔帕莱索,康塞普西翁,蓬塔阿雷纳斯,伊基克等",西班牙语[2] ,Himno Nacional,1810年9月18日,圣地亚哥(首都),,,,,,,,,,,,,,,,,,,
华盛顿纪念碑,,华盛顿纪念碑,,,,,,,,,,,,,,,,,,,,,,,,,美国华盛顿哥伦比亚特区美国国家广场中心,,,,,,,,,,,,,
耶路撒冷,耶路撒冷,,"Jerusalem, aL-Quds",,,圣城,,,,,,,,,,,,,,,,,,,首都,以色列、巴勒斯坦,以色列/巴勒斯坦中部,,西耶路撒冷(以色列),哭墙、圣殿山、阿克萨清真寺、圣墓教堂、大卫城塔、死海,,,,,,,,,,
亚拉巴马,,亚拉巴马州,,,,迪克西心脏、山茶花州,,,,,,,,,,,,,,,伯明翰,,,,联邦州,美国东南部,位于东南部地区,67个县,蒙哥马利市,,,,,罗伯特·本特利,,,,,,
加利福尼亚,,加利福尼亚州,,,,加州、黄金之州、金州,,,,,,,Pacific: UTC-8/-7,,,,,英语,,,,,,,州,美国西南部,美国西南部、太平洋东岸,洛杉矶、旧金山、伯克利、奥克兰、萨克拉门托、圣迭戈等,萨克拉门托,旧金山金门大桥、好莱坞,,,,加文·纽瑟姆[3] ,,,,,,
佛罗里达,,佛罗里达州,,,,Sunshine State,,,,,,,,,,,,,,,,,,,州,美国东南部,美国东南海岸,杰克逊维尔、迈阿密、奥兰多、塔拉哈西,,"珊瑚岛礁,棕榈海滩等",,,,查理·克里斯特,"比尔·纳尔逊,马克罗·鲁比奥",,,,,
伊利诺伊,,伊利诺伊州,,,,“林肯之地”、草原之州,,,,,,,,,,,,,,,,,,,联邦州,美国,36°58'N  42°30'N 87°30'W,,斯普林菲尔德,,,,,普利兹克(J.B. Pritzker)[1] ,,,,,,
林肯纪念堂,,林肯纪念堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内华达州,,内华达州,,,,The Silver State,,,,,,,,,,,,,,,,,,,,美国,"位于美国西部,与加州接壤","拉斯维加斯, 瑞欧",,拉斯维加斯 太浩湖 内华达大学校园,,,,布莱恩·桑多瓦,"哈里·瑞德,迪安·海勒",,,,,
夏威夷,,夏威夷州,,,,阿罗哈州,,,,,,,,,,,,,,,,,,,联邦州,美国,夏威夷群岛(132个岛),夏威夷、檀香山市及县等,火奴鲁鲁,波里尼西亚文化中心,,,,尼尔·艾伯克伦比,,,,,,
新罕布什尔州,,新罕布什尔州,,,,花岗岩州,,,,,,,,,,,"曼彻斯特,纳舒厄(Nashua)",,,,,,,,州,美国东北部的新英格兰区域,美国东北部的新英格兰区域,,康科德,,,,,约翰·林奇(民主党),贾德·格雷格、约翰·苏努努,,,,,
曼彻斯特,曼彻斯特,,Manchester,,,,,,,,,,,,,,,,,,,,,,,大曼彻斯特郡,英格兰西北部平原,曼彻斯特市,曼彻斯特市中心,艾伯特广场、劳瑞中心、中国城、凯瑟菲尔德城市遗公园等,,,,,,,,,,
南海,南海,,South China Sea,,,,,,,,,,,,,,,,,,,,,,,,"中国大陆的南方,太平洋西部",,,,,,,,,,,,,
亚拉巴马州,,亚拉巴马州,,,,迪克西心脏、山茶花州,,,,,,,,,,,,,,,伯明翰,,,,联邦州,美国东南部,位于东南部地区,67个县,蒙哥马利市,,,,,罗伯特·本特利,,,,,,
蒙哥马利,伯纳德·劳·蒙哥马利,,Bernard Law Montgomery,,,第一代阿拉曼的蒙哥马利子爵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塔斯卡,,塔斯卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄勒冈,,俄勒冈州,,,,"俄州,海狸州",,,,,,,,,,,,,,,,,,,州,美国,美国西北部,"波特兰,科瓦利斯,塞伦市",塞伦市,"哥伦比亚河大峡谷,火山湖国家公园,摩特诺玛瀑布","俄勒冈大学,俄勒冈州立大学",,,,,,,,,
威斯康辛州,威斯康星州,,Wisconsin (简写WI),,,美洲獾之州(The Badger State),,,,,,,,,,,,,,,,,,,,美国,,,麦迪逊,,,,,,,,,,,
抱川市,,抱川市,,,,,,,,,,,,,,,,,,,,,,,,大韩民国,大韩民国京畿道中东部,"1个邑,2个洞,11个面",,"山井湖,鸣声山",,,,,,,,,,
韩国,大韩民国[3] ,,"韩语:대한민국;英语:Republic of Korea,South Korea[4] ",,韩国,,KOR,总统制共和制,总统:文在寅(Moon Jae-in),首尔[5] ,约 100000 km2,亚洲,UTC+9,"韩元(KRW,₩)[4] ",韩民族[4] ,基督新教、佛教、天主教[6] ,"釜山,仁川,蔚山,大邱,大田,光州,水原,济州市等[4] ",韩语[4] ,《爱国歌》[3] ,1948年8月15日[4] ,,,大陆法系和英美法系,,,,,,,南山塔、乐天世界、雪岳山、济州岛,,,,,,,,,,
首尔,首尔,,"서울특별시/서울特别市,Seoul Special City",,,汉阳/汉城/首尔特别市,,,,,,,,,,,,,,,,,,,"特别市,韩国首都","韩国,东北亚",北纬37°33'东经126°58',"25区、15,267洞、112,734番地",首尔特别市中区世宗大道110号,"景福宫,昌德宫,乐天世界,N首尔塔,明洞,狎鸥亭,东大门等等",首尔大学、高丽大学等,,,,,,,,,
罗德里格斯,哈梅斯·罗德里格斯,,James David Rodríguez Rubio[5] ,,,J罗、哈梅斯、哈罗、詹姆斯·罗德里格斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄勒冈州,,俄勒冈州,,,,"俄州,海狸州",,,,,,,,,,,,,,,,,,,州,美国,美国西北部,"波特兰,科瓦利斯,塞伦市",塞伦市,"哥伦比亚河大峡谷,火山湖国家公园,摩特诺玛瀑布","俄勒冈大学,俄勒冈州立大学",,,,,,,,,
捷克,,捷克共和国[2] ,,The Czech Republic[1] ,捷克,,CZE,议会制共和制,"总统:米洛什·泽曼,总理:安德烈·巴比什[1] ",布拉格[1] ,78866平方公里[1] ,欧洲,UTC+1(夏时制:UTC+2),捷克克朗(CZK)[1] ,捷克人[1] ,天主教[1] ,"布尔诺,俄斯特拉发,比尔森,卡罗维发利等[1] ",捷克语[1] ,《我的家乡在哪里》,10月28日[1] ,布拉格,,,,,,,,,,,,,,,,,,,
印度尼西亚,印度尼西亚共和国[1] ,,The Republic of Indonesia;Indonesia,,印度尼西亚、印尼,,IDN,总统制共和制,总统:佐科·维多多[1] ,雅加达[1] ,1913578.68 km2[5] ,亚洲,UTC+7至UTC+9,印度尼西亚盾,爪哇族、巽他族、马都拉族、马来族[1] ,伊斯兰教[1] ,"泗水,万隆,棉兰,日惹等",印度尼西亚语[1] ,《伟大的印度尼西亚》,1945年8月17日[1] ,雅加达,,,,,,,,,,,,,,,,,,,
柏林,,柏林,,,,,,,,,,,,,,,,,,,,,,,首都,德国,德国东北部,米特区、潘科区和施潘道区等,柏林国会大厦,"国会大厦,勃兰登堡门,威廉皇帝纪念教堂等",,,,,,迈克尔·穆勒,,,,
