实体名称,中文名,外文名,别名,性别,国籍,民族,祖籍,出生地,出生日期,职业,职务,职称,所属政党,政党,语言,净资产,毕业院校,学历,信仰,主要成就,代表作品,父母,妻子,人物评价,人物影响,对华关系,对华政策,政见,立场,军衔
 王建刚,王建刚,Jian-Gang Wang ,,男,中国,,,安徽亳州,1963年5月,,,,,,,,杭州商学院,,,,,,,王建刚同志长期从事高校教学、科研、管理工作，思想政治素质较好，理论水平较高；工作思路清晰，有较强的组织协调和驾驭全局的能力；熟悉高等教育规律，改革创新意识较强；他讲大局，讲团结，讲效率，公道正派，待人坦诚，严格要求自己，清正廉洁，在教职工中有较高威信。他具有较强教学科研能力，主编出版过多部教材，取得多项科研成果。相信王建刚同志在新的岗位上，与王磊同志和班子其他成员密切配合，做出新的工作业绩。,,,,,,
哈桑·鲁哈尼,哈桑·鲁哈尼,Hassan Rouhani,鲁哈尼,,伊朗,波斯族,,伊朗塞姆南省索尔赫市,1948年11月,政治家、总统,,,,,,,德黑兰大学,,什叶派伊斯兰教,当选第11届伊朗总统入围美国知名新闻周刊《时代》2015年度人物的候选名单,,,,得知鲁哈尼支持率大幅领先的消息后，英国前外交大臣杰克·斯特劳告诉路透社记者，这是“令人高兴的结果”。鲁哈尼出任伊朗首席核谈判代表期间曾与斯特劳打过交道。斯特劳认为，鲁哈尼“热情、有吸引力”，同时“很爱国、强硬”。 伊朗政治分析师哈米德说，“鲁哈尼任职期间，西方国家没有对伊朗实施制裁，国际社会了解他是一个寻求与西方国家互动的人，这可能会自动改变这场游戏”。鲁哈尼和内贾德是风格截然不同的两位核谈判代表。内贾德采取的是强硬姿态，要求西方解除制裁；鲁哈尼采取的是实用主义立场，认为好斗无益于伊朗人民。,,,,,,
蓬佩奥,迈克·蓬佩奥,Mike Pompeo,,,美国,意大利裔[2] ,,加利福尼亚州奥兰治,1963年12月30日[1] ,,美国第70任国务卿,,,,,,西点军校、哈佛大学法学院,,,曾任美国堪萨斯州共和党国会议员、美国众议院情报委员会成员,,,,2020年4月，美国《华盛顿邮报》曾发表评论文章，抨击美国国务卿蓬佩奥在疫情期间的表现，称他是“美国历史上最差国务卿之一”。 [46] ,,,"蓬佩奥曾多次在公开场合大放厥词，攻击中国发展道路，挑拨中国共产党和中国人民之间的关系，歪曲中国改革开放，抹黑中国与外交伙伴的互利合作。 [17]  在南海问题、华为5G设备、“债务陷阱”、贸易问题、知识产权等问题上对中国集中发表一系列负面言论，如无端指责华为参与他国的5G建设存在“风险”、中国有意制造“债务陷阱”借机侵吞对方资产、中国“威胁”南海的开放和航行自由等等。 [18] 
2020年7月23日下午，美国国务卿蓬佩奥在加州尼克松故乡的尼克松图书馆暨博物馆发表演讲，对中国内政外交进行污蔑。",,,
南希·佩洛西,南希·佩洛西,Nancy Patricia D'Alesandro Pelosi,,,美国,,,马里兰州巴尔的摩,1940年3月26日,美国众议院议长,美国国会众议院议长,,,民主党,,,三一学院,,,,,,,"她的女儿亚历山德拉说，母亲是政治谈判的高手，“她割断了你的头，你还不知道自己在流血”，“与她斗，没人能够胜出”。 [10] 
共和党警告说：“不要被她欺骗”。对许多共和党人来说，佩洛西是个大麻烦，因此，他们总是把佩洛西描述为有若干严重问题。《独立报》分析认为，这种说法并不十分准确。佩洛西曾经为争取堕胎权利而奋斗，曾努力把布什减税政策压到最低标准，曾倡导为合法移民提供福利。有评论认为，她是一个严格意义上的政客，为了追求某种事物可以做到六亲不认。这种事物就是权力。
旧金山的民主党活动家约翰·阿兰斯梅耶评价佩洛西说，“她很严肃，且受人尊重。她也许不是空想家，但她非常擅长政治游戏。她不是只会空谈，而是实干派。对这个城市来说，她是一个温和主义者。”
由于佩洛西不频繁在电视上露面，有批评说她冷淡、不好相处。无论怎样，佩洛西说：“三分之二的公众基本上对我全无了解，我认为这是我的优势。这并不是关于我本人，而是关系到民主党。”佩洛西当选议长时的支持率仅有25%，2010年国会中期选举后，约翰·博纳接替佩洛西出任众议长。 [19]  ",,,在美国她是个极端反华的政客。在西藏问题上是非不分，颠倒黑白。一再干涉中国内政，不断伤害中国人民的感情，损害中美关系。,,,
佩洛西,南希·佩洛西,Nancy Patricia D'Alesandro Pelosi,,,美国,,,马里兰州巴尔的摩,1940年3月26日,美国众议院议长,美国国会众议院议长,,,民主党,,,三一学院,,,,,,,,,,,,,
哈米尔,亚当·哈米尔,Adam Hammill(Adam James Hammill),咸美尔(粤语),,英格兰(爱尔兰)双重国籍,,,利物浦,1988年1月25日,,,,,,,,利物浦科克比青训学院,,,,,,,,,,,,,
雅各布·布莱克,雅各布·布莱克,,,,美国,,,,,,,,,,,,,,,,,,,,,,,,,
唐纳德·特朗普,唐纳德·特朗普[6] ,Donald Trump,Donald John Trump、川普,,美国,德意志人[1] ,,美国纽约,1946年6月14日,,政治家、企业家、房地产商人、电视人,,美国共和党,,,21亿美元(2020年4月)[7] ,宾夕法尼亚大学沃顿商学院,,,第45任美国总统(2016年-)《时代周刊》2016年度人物,做生意的艺术学徒,,,,,,,,,
威廉·巴尔,威廉·巴尔,William Barr,,,美国,,,,1950年[1] ,司法部长,,,,,,,乔治·华盛顿大学,,,,,,,"共和党对巴尔的提名表示欢迎。得克萨斯州参议员、国会参议院共和党第二把交椅约翰·科宁(John Cornyn)认为，巴尔能顺利获得参议院的确认。
民主党对巴尔持谨慎态度，巴尔曾多次批评穆勒的“通俄门”调查，他在2017年接受国会山报采访时表示，穆勒的调查“根本没有一个完整的计划”，暗示穆勒雇佣太多为民主党竞选活动捐款的检察官，还声称前国务卿希拉里·克林顿批准俄罗斯在2010年收购美国铀储备一事更值得调查。
此外，巴尔对特朗普解雇前联邦调查局局长詹姆斯·科米(James Comey)的行动也表示支持。
康涅狄格州民主党参议员布卢门撒尔(Richard Blumenthal)7日表示，民主党将仔细审查他。
“我将要求巴尔做出坚定而具体的承诺，保护穆勒的调查独立于白宫之外，”布卢门撒尔在一份声明中说，“巴尔似乎对讨好特朗普更感兴趣，而不是客观、深入地分析法律。” ",,,,,,
安德鲁·科莫,安德鲁·科莫,Andrew Mark Cuomo,,,美国,意大利裔[1] ,,纽约皇后区,1957年12月6日,"政治家,律师",,,,,,,福特汉姆大学,,罗马天主教,美国住房与城市发展部部长56任美国纽约州州长,,,,,,,,,,
安东尼·福奇,安东尼·福奇,Anthony S. Fauci,安东尼·福西,,美国,,,纽约布鲁克林,1940年12月24日,医生[2] ,,,,,,,康奈尔大学,,,,,,,,,,,,,
凯莉·麦克纳尼,凯莉·麦肯内妮,Kayleigh McEnany,凯莉·麦克纳尼[3] 、凯蕾·麦克尼[4] ,,美国,,,,1988年4月[5] ,,,,,,,,,,,,,,,,,,,,,
罗伯特·雷德菲尔德,罗伯特·雷德菲尔德,Robert Redfield,,,美国,,,,1951年,,美国疾病控制与预防中心主任,,,,,,,,,,,,,,,,,,,
亨特,诺曼·亨特,Norman Hunter,,,英格兰,,,英格兰埃斯顿,1943年10月24日,,,,,,,,,,,,,,,,,,,,,
库克,蒂姆·库克,Timothy Donald Cook,Tim Cook,男,美国,,,阿拉巴马州罗伯茨代尔,1960年11月1日,,苹果公司CEO,,,,,,奥本大学;杜克大学,,,2013年推出iPhone5S2014年推出iPhone6及Apple Watch推出指纹解锁、远程追踪等功能获评《金融时报》2014年度人物,,,,"蒂姆·库克是我迄今招来的最好的员工。在苹果前CEO詹姆斯·麦克鲁尼(James McCluney)1997年离开后，他曾经难以找到合适人选。我不能从公司内部挖掘潜力，也没有从我认识的人当中发现合适人选，这项工作整整持续了九个月，直到我们找到蒂姆·库克。在蒂姆加盟苹果以后，我们从根本上改变了PC业务的供应流程。除了彻底调整苹果的供应链，库克还领导公司进军新市场。（乔布斯评）  
库克是一位能力突出的公司管理层。人们会吹毛求疵，相比史蒂夫，他们对库克会更加关注。（新浪评） 
苹果董事会完全相信库克就是我们下一任CEO的合适人选。库克已在苹果工作13年之久，有过出色的表现，在他所做的一切事情上，蒂姆均展现出非凡的天赋和合理的判断。（阿特·列文森评） ",,,,,,
华春莹,华春莹,,,女,中国,,,江苏,1970年,,,,,,,,南京大学,,,中国第五位女性外交部发言人,,,,,,,,,,
奥巴马,贝拉克·侯赛因·奥巴马,Barack Hussein Obama,巴拉克·欧巴马;奥巴马(简称),,美国,非裔美国人,,美国夏威夷州檀香山市,1961年8月4日,政治家,,,,,,,哥伦比亚大学、哈佛大学[1] ,,基督新教,2008、2011年时代周刊年度风云人物第44任美国总统(第56-57届)2009年获诺贝尔和平奖,《我们相信变革》、《我父亲的梦想》、《无畏的希望》,,,"奥巴马作为总统在国际政治中营造了一种新的氛围。在获得整个世界关注和给民众以更美好未来的希望方面，极少有人达到奥巴马这样的程度。（诺贝尔奖委员会官网评）
作为第一个担任美国总统的非洲裔美国人，奥巴马为美国人民树立了榜样，而他也给美国政坛带来了一种新的阶级观念。在他担任总统期间，白宫甚至连个人丑闻这样的事情都未曾发生过。在奥巴马担任总统的绝大多数时间里，白宫一直将一种成熟稳健的成年人风格展示给外界。（凤凰网评）",2015年4月30日，在美国城市芝加哥创建以美国总统巴拉克·奥巴马命名的图书馆；同年5月，奥巴马基金会确认“奥巴马总统图书馆”落户于他曾经长期执教的芝加哥大学。 [39-40] ,,,,,
亚历山大·武契奇,亚历山大·武契奇[5] ,塞尔维亚语:АлександарВучић;英语:Aleksandar Vučić,,,塞尔维亚[5] ,,,,1970年3月5日[6] ,,政治家[5] ,,,,,,贝尔格莱德大学,,,,,,,,,,,,,
武契奇,亚历山大·武契奇[5] ,塞尔维亚语:АлександарВучић;英语:Aleksandar Vučić,,,塞尔维亚[5] ,,,,1970年3月5日[6] ,,政治家[5] ,,,,,,贝尔格莱德大学,,,,,,,,,,,,,
霍蒂,霍蒂,,霍蒂,,巴林,,,巴林,1989/12/24,,,,,,,,,,,,,,,,,,,,,
理查德·格雷内尔,理查德·格雷内尔,Richard Grene,,,美国,,,,,外交官,,,,,,,,,,,,,,"特朗普在社交媒体“推特”写道，格雷内尔“非常出色地代表了我们的国家，我期待与他一起工作”。
美联社报道，格雷内尔对特朗普“忠心”。一些议员指认特朗普任人唯亲而不是任人唯贤。参议院情报委员会民主党籍成员马克·沃纳说，特朗普挑选“一名没有任何情报经验的人”出任代理国家情报总监，“绕过”参议院审批。
美国布鲁金斯学会国家安全法专家、美国国家安全局前律师苏珊·亨尼西在“推特”写道，“一个完全不能胜任的人出任重要安全职位”，“制约已经缺失”。 
作为美国驻德国大使，格雷内尔在德国“不受待见”。德新社说，就一些国际事务，欧洲国家与美国不总是意见一致，而格雷内尔扮演特朗普政策执行者的角色，言行引发争议。
格雷内尔就伊朗核问题协议、北约成员国防务费等议题向德方施压。一名德国议员告诉路透社，相比推动美德关系，格雷内尔把心思更多用在如何讨好特朗普上。“他的观众只有一个，就是美国总统，”这名议员说。",,,,,,
詹姆斯·亨利,亨利·詹姆斯,Henry James,,,美国,,,美国纽约,1843年4月15日,小说家,,,,,,,,,,,《一个美国人》《一位女士的画像》、《鸽翼》《使节》《金碗》,,,"以欧洲人的眼光来看，詹姆斯是个跨越国界的“文学大师”，但他的艺术风格与马克·吐温的文学传统背道而驰，所以他在世时，钟情于他的美国读者为数不多。马克·吐温酷爱富有乡土色彩的民众口语，詹姆斯则爱用晦涩难懂的副词和长句，堆砌比喻，对话过分雕琢，意思含糊不清。因此，他和他的作品一度受到指责，直到两次世界大战之前，美国出现了“第二次文艺复兴”时，作为小说家和批评家的詹姆斯才受到充分重视。他被公认为美国一位杰出的心理现实主义小说家。——杨仁敬 
他写戏剧不是很成功，但写小说却极为拿手，善于创造模棱俩可的情节，使读者费脑筋，但因此也可被永无休止地读下去。他的那些丰富的作品，写出来就是为了要人慢慢回味、细细分析的。——阿根廷作家博尔赫斯 ",亨利·詹姆斯开创了心理分析小说的先河，他的笔下，出现了仿佛是迷宫般的普通人的内心世界。20世纪初，詹姆斯接连发表《鸽翼》、《使节》和《金碗》3部长篇小说，使他的创作达到高峰。在兰登书屋（Random House）1996年评选的20世纪百佳英文小说中，詹姆斯就凭借这三部小说榜上有名，且都排名靠前。这些小说大多颂扬美国资产阶级高尚的品德。詹姆斯被誉为西方现代心理分析小说的开拓者。 ,,,,,
玛丽亚·凯莉,玛丽亚·凯莉,Mariah Carey,花蝴蝶、Mimi、牛姐,,美国,,,美国纽约亨廷顿,1970年3月27日,"歌手,词曲作家,唱片制作人,演员",,,,,,,,,,唱片销量两亿多张公告牌拥有最多冠单歌手全美音乐终身成就奖世界音乐钻石奖BMI杰出人物展开主要成就唱片销量两亿多张公告牌拥有最多冠单歌手全美音乐终身成就奖世界音乐钻石奖BMI杰出人物5座格莱美奖11座全美音乐奖38座公告牌音乐奖9座灵魂列车音乐奖19座世界音乐奖收起,Hero、We Belong Together、Without You、Fantasy、All I Want For Christmas Is You等,,,"玛丽亚·凯莉是歌唱比赛参赛者最爱模仿的歌声之一，是女歌手心目中的共同偶像，同时也是许多艺人梦寐以求的合作对象。
玛丽亚·凯莉才华横溢，拥有美妙的嗓音和高尚的品德，她是一个出色的歌手，一个完美的词曲作者，音域很广的她总是能写出好的旋律，从人生的高处跌到低谷，却像从未错过一个节奏一样重新站起来  （新浪网、史提夫·汪达、凯莉·克莱森、唐妮·布蕾斯顿、布兰妮・斯皮尔斯、Nelly评）。",,,,,,
亨利,蒂埃里·亨利,Thierry Henry,"亨利,大帝,海布里之王,枪王",,法国,,,法国巴黎,1977年8月17日,"运动员,评论员,演员等",,,,,,,,,,,,,,"亨利能在球场中央带着球，然后攻进没有任何其他球员能攻进的球。（温格评）
我把他比做足球场上的""拳王""阿里,因为他的速度和优雅是别人无法比拟的。他的所有动作都散发出巨星的风范和优雅的气质。（拉涅利评）
我认为亨利是这个世界上最好的球员，他是个完美的前锋，在球场上，他无所不能，他就是一个足球的精灵。（罗纳尔迪尼奥评）
快速的步伐，灵敏的盘带能力，丰富的创造性以及惊人的进球能力而闻名。 （网易体育评）
亨利那令人难以置信的速度和爆发力又令他跑起来象一辆坦克。更与众不同的是，亨利同时还有着令人目眩的控球技术。以上3点结合到一起就是恐怖的锋线游击队员亨利，一旦让他舒服地拿到脚下球，特别是在左边路，任何后卫都难以抵挡住他反复的加速变向和内切。（网易体育评）",,,,,,
赵凯 ,赵凯,,,,中国,汉族,,黑龙江鹤岗,1963年4月,商人,,,,,,,,,,,,,,,,,,,,
吴昊,吴昊,,,,中国,汉族,,河北省石家庄,3月22日,演员,,,,,,,,,,,《无名高地》、《走进看守所》、《颤抖吧!阿部》[3] ,,,,,,,,,
德约科维奇,诺瓦克·德约科维奇,"英语:Novak Djokovic/塞语:Новак Ђоковић, Novak Đoković",Nole、Djoker、小德 、闹来,,塞尔维亚,塞尔维亚族,,贝尔格莱德,1987年5月22日,,,,,,,,,,,,,,,"德约科维奇作为历史上回球最犀利的球员之一，德约科维奇拥有着45%的生涯破发点转化率，这一成绩排在并列第二位。就像一个乐队指挥在领导交响乐团一样，很少有人能接住德约科维奇从底线打出的诡异而又力量十足的击球，他总能用那致命的反手球来主宰比赛  。（网易体育评）
德约科维奇终于成就世界第一，虽然还不是捧杯一刻，但德约科维奇已经激动得亲吻起温布尔登的草场，因为半决赛的胜利，标志着他已然打破“费纳”统治，成为新的世界第一  。（凤凰资讯评）
对于德约科维奇的传奇恐怕我们一辈子也就只能目睹这样一次，因为它已足以在整个世界体坛的历史中留下浓重一笔  。（新浪体育评）
小德建立的新王朝，靠的是自己卓绝的努力与无畏的自信，他确立了自己的技术风格，那就是全面性、多样性。他用美网的荣誉回馈国家，整个塞尔维亚都为他欢呼激越。只有在废墟中长大的孩子，才清楚这意味着什么  。（腾讯体育评）
诺瓦克就像一架F18海军战斗机，当我向前追溯60年，综合比较了所有我曾经有幸见证过的球员之后，我坚信诺瓦克的整体表现，包括身体方面和精神方面，都是我所见过的最完美的  。（尼克网球学校创始人尼克·波力泰利尼评）",,,,,,
布斯塔,帕布洛·卡雷尼奥·布斯塔,Pablo Carreno Busta,,,西班牙,,,希洪(Gijon),1991年7月12日,,,,,,,,,,,,,,,,,,,,,
科维奇,科维奇,Ante Covic,,男,澳大利亚,,,,1975年6月13日,,,,,,,,,,,,,,,,,,,,,
约科维奇,约科维奇,,,,克罗地亚,,,,1987年10月01日,,,,,,,,,,,,,,,,,,,,,
卡玛拉·哈里斯,卡玛拉·哈里斯,Kamala Harris[5] ,贺锦丽[6] ,女,美国,,,美国加利福尼亚州奥克兰,1964年10月20日[1] ,,美国联邦参议员,,,,,,霍华德大学,,,,,,,,,"2018年8月，作为联邦参议员的哈里斯致信美国贸易代表莱特希泽，对特朗普政府认定中国采取不公平的产业政策和窃取美国知识产权的调查结论表示认同，但批评特朗普提议对来自中国的消费电子产品征收关税，称这将伤害美国消费者和企业  ；
2019年10月，哈里斯宣布支持《2019年香港人权与民主法案》 。",,,,
哈里斯,德文·哈里斯,Devin Harris,,,美国,,,威斯康星州密尔沃基,1983年2月27日,,,,,,,,威斯康星大学,,,,,,,,,,,,,
乔·拜登,小约瑟夫·罗宾内特·拜登,Joseph Robinette Biden,乔·拜登,,美国,,,宾夕法尼亚州[1] ,1942年11月20日,第47任美国副总统,,,,,,,雪城大学、特拉华大学,,,第47任美国副总统兼参议院议长,,,,"拜登是“一位植根于中产阶层的外交专家”。（美国前总统奥巴马评）
拜登既不像布什的副总统切尼那样“老谋深算”，恨不得要操控总统的外交政策，也不像克林顿的副总统戈尔，当副总统的目的是今后要当总统。拜登既不想当总统，也不愿意越俎代庖，同时，这个人又比较善于处理外交事务。（中国现代国际关系研究院美国研究所所长袁鹏评）
拜登是一个正直的人，但过去40年里，他在几乎所有重大外交和国家安全事务上均判断失误。（曾与拜登共事的前国防部长罗伯特·盖茨评） [6]  ",,,"拜登对2001年布什上台伊始对华持强硬态度表示不满，认为积极沟通和协调才是解决中美分歧的关键。他认为：布什政府应该继续美国历届政府过去在台湾海峡问题上的立场。那就是在一定程度上有意地持模糊不清的态度，也就是说，美国要警告中国不要向台湾发动军事进攻，美国要警告中国，如果发动进攻，美国“可能”会向台湾提供军事援助，但同时美国也不要向台湾做出“如果中国进攻，美国一定会出兵保护”的承诺。所以，拜登对布什总统对中国的强硬态度很不欣赏。
他同时强调必须推动中国遵循法律和政治方面的国际准则，以及巩固现有联盟以提防中国异常地侵犯美国及其盟国的根本利益。反对把中国视为敌人，也不以中国为盟友，而是认识到中美之间既有竞争也有共同利益。他认为能源及环境是对华关系的两个特别重要的领域。 作为联邦参议院外交委员会主席，于2007年要求议会研究服务 （Congressional Research Service）全面研究中国在亚非拉正在增长的软势力， 并于次年主持了参议院“全球化时代的美中关系”听证会，对中国的国情及外交有较一般美国政治家更广泛，深入的认识及思考。
2012年与奥巴马合影
2012年与奥巴马合影
2019年6月在艾奥瓦州的一场竞选演讲中，拜登突然改口对中国示强，与拜登5月称“中国不是美国竞争对手”的表态迥然不同。“我们正在和中国竞争，我们需要对中国采取强硬态度。他们对我们是严峻的挑战，在某些领域是真正的威胁”，他还批评特朗普发起的关税战“正在恶化这种挑战”。 [21]",,,
王娜,王娜,,,女,中国,汉族,,陕西,,,,,,,,,,,,,,,,,,,,,,
伯尼·桑德斯,伯尼·桑德斯,Bernie Sanders[5] ,,,美国,犹太族,,纽约,1941年9月8日,政治家,,,,无党派,,,芝加哥大学,,社会主义,,,,,,,,,,,
伯尼,埃克·莱斯顿,"Bernard Charles ""Bernie"" Ecclestone",,,英国,,,英国,1930,,,,,,,,,,,"1998年,他曾成为英国第六大富豪",,,,,,,,,,
